#              t (s)             x (pxl)             y (pxl)                   f                   n         x_err (pxl)         y_err (pxl)               f_err
             -7.4195     -0.017959953414     0.0223787213676      0.211598639041                27.0     0.0384055795048     0.0361470157029     0.0293905032009
              -7.315    -0.0174577852098     0.0496461307448      0.184627347269                29.0     0.0436666837308     0.0346090404859     0.0195859633321
             -7.2105     0.0316207824344    -0.0347562396767      0.245941073832                28.0      0.036454477016     0.0380546170637     0.0314119440626
              -7.106     0.0208623857108      0.024823007454      0.224709981147                30.0     0.0401976306626     0.0387262885408      0.023054236689
             -7.0015    -0.0518149157348    -0.0158779790854      0.248183704062                29.0     0.0412920727482     0.0386891153371      0.027555112537
              -6.897   -0.00574558002948     0.0498716714958      0.209229846591                31.0     0.0263669665809     0.0297903466613     0.0212785407014
             -6.7925     0.0406028901963     0.0684380365242      0.209675252241                31.0     0.0344507480844     0.0352439377439     0.0156154939263
              -6.688     0.0403915658077     0.0159213575505      0.219419429994                30.0     0.0299409019882     0.0398350435791     0.0249025902976
             -6.5835    -0.0702583986711    -0.0112613770761       0.21402602045                32.0     0.0370473709384     0.0404183666647     0.0221117520267
              -6.479    -0.0322385650283     0.0130049301378      0.265894104856                30.0     0.0306491563889     0.0416456796518      0.030187684132
             -6.3745    -0.0789777955758    0.00123806424265       0.22572631262                32.0     0.0322271714657     0.0233823727273      0.032735915671
               -6.27     0.0186234504262    0.00869088154401      0.275080613437                31.0     0.0325632973555     0.0380115203102     0.0278458336153
             -6.1655    -0.0506215251066     0.0692877262067      0.241966273271                33.0     0.0383760077066     0.0395188595626     0.0231103884383
              -6.061       0.00263997982     0.0585700255294      0.273930183681                33.0     0.0329596199006     0.0333122219881     0.0277249542157
             -5.9565    -0.0235151043453    -0.0600704766165      0.287979534196                33.0     0.0267941140714     0.0349827898501     0.0331732842921
              -5.852    -0.0246001314517      0.020871913546      0.345659501149                32.0     0.0315979690193      0.037210715909     0.0333186733884
             -5.7475     0.0157355262582     0.0075042764342      0.302664651523                34.0     0.0360599877445     0.0362966966493     0.0231496536313
              -5.643     0.0208897173788    -0.0124488789362      0.338698322685                34.0     0.0313729230633     0.0341833150864     0.0259258514705
             -5.5385    -0.0756610888318    -0.0565829338928      0.368714062835                34.0      0.026934659445     0.0313241101758     0.0271414653095
              -5.434     0.0432724852061   -0.00480682921817      0.314439015501                35.0     0.0345938994189     0.0410898263126     0.0208555819164
             -5.3295    -0.0329152395369     0.0452922806915      0.324574351634                36.0     0.0270578444692     0.0271933448234      0.025784759609
              -5.225    -0.0491234465462   0.000199726774914      0.297529558669                36.0     0.0327210558191     0.0481155366977     0.0270311414981
             -5.1205   -0.00514380661667     0.0199595785709      0.279924716512                38.0     0.0248457811055     0.0352272241528     0.0299106794834
              -5.016    0.00610607341298    -0.0118042319118      0.286426702095                38.0     0.0331293557585     0.0343966589334     0.0209727068846
             -4.9115    -0.0306790465272    0.00913453690421      0.287061457324                38.0     0.0299719682624     0.0342805194031     0.0231599891418
              -4.807     -0.025240785529    -0.0118951987342        0.2677777896                40.0     0.0294353980805     0.0303540606036      0.029090915018
             -4.7025    -0.0315206722128     0.0092229000121       0.29298672813                42.0     0.0323619029687     0.0295587814529     0.0315170462083
              -4.598    -0.0310721296115    -0.0369613749324      0.309389928598                41.0     0.0262962073309     0.0304275597948     0.0306379799988
             -4.4935    -0.0190517098452   -0.00204450205294      0.322868075572                42.0     0.0299338644596      0.029836896813     0.0313113424639
              -4.389    -0.0517603238383    -0.0247939174186      0.334017926313                38.0     0.0298221845081     0.0320660389707     0.0309471345328
             -4.2845    -0.0173066156898    -0.0235333962686      0.304249997523                42.0     0.0292188555118     0.0299668202995     0.0308530982473
               -4.18    -0.0034336592471    -0.0147163646243       0.31751890195                42.0      0.022909762189     0.0284376888372     0.0270435783329
             -4.0755    -0.0116404664375    -0.0259197825425      0.336199854441                43.0     0.0280090701864     0.0336306469232     0.0322198314356
              -3.971    -0.0427248651183    -0.0106368397866      0.361932422849                40.0     0.0235349515755     0.0257560274674     0.0342368251218
             -3.8665   -0.00717254200667     0.0169037972991      0.344645152368                43.0     0.0306921814207     0.0412934528428     0.0324608084306
              -3.762    -0.0399237531546     0.0378703380767       0.36949094561                42.0       0.03386625852     0.0404784381567     0.0337552597772
             -3.6575    -0.0343109963321    -0.0233744011908      0.337074627646                44.0     0.0310043393137     0.0366526956778     0.0362904843305
              -3.553    -0.0165403019223     0.0100473270206      0.328117909252                46.0     0.0301821134214     0.0309308493261     0.0312639188594
             -3.4485    -0.0663804002977    -0.0186202631115      0.319332462907                46.0     0.0295916453006     0.0327691375789     0.0277219547346
